price,location,size,Price_per_m2,bedroom,toi_list,mat_tien,floor,duong_vao,phap_ly,noi_that
2.05,9,35.0,71.88,4.0,3.0,4.636274509803922,4.0,4.9,0,0
2.3,9,32.0,118.06,3.0,3.0,4.636274509803922,4.0,4.9,0,0
4.25,12,36.0,162.5,3.0,3.0,4.2,5.0,3.0,0,0
6.5,16,40.0,152.27,3.0,4.0,4.636274509803922,4.0,4.9,0,0
4.48,0,35.0,132.86,3.0,4.0,4.5,5.0,4.0,0,0
4.65,17,35.0,122.22,3.0,3.0,4.0,5.0,3.0,0,0
4.4,3,36.0,88.25,3.0,3.0,4.0,4.0,4.0,0,0
3.53,10,40.0,96.99,4.0,4.0,4.636274509803922,5.0,4.9,0,0
6.79,16,70.0,73.48,4.0,4.0,4.0,4.0,5.0,0,0
3.7,8,40.0,298.11,3.0,3.0,4.0,4.0,4.5,0,0
2.3,6,31.3,183.33,3.0,3.0,5.0,4.0,2.0,0,0
15.8,19,53.0,78.0,3.411202778983934,3.616707616707617,4.0,5.0,5.0,0,0
7.7,0,42.0,114.78,4.0,4.0,4.636274509803922,6.0,4.9,0,0
8.8,9,72.0,88.57,3.0,5.0,6.0,3.0,10.0,0,0
3.9,1,50.0,106.94,4.0,3.0,4.0,4.0,4.9,0,0
7.69,16,67.0,67.14,4.0,3.0,4.636274509803922,4.0,4.9,0,0
3.1,1,35.0,120.0,4.0,3.0,3.5,2.0,3.0,0,0
3.85,17,36.0,104.44,2.0,2.0,4.0,5.0,2.5,0,0
2.3,1,33.0,69.7,4.0,3.0,4.0,4.0,2.0,0,0
5.1,0,58.0,87.93,3.0,3.0,3.8,3.0,2.5,0,0
4.15,9,30.0,138.33,3.0,5.0,3.9,5.0,4.0,0,0
8.6,9,40.0,215.0,4.0,5.0,5.0,5.0,8.0,0,0
2.5,9,35.0,71.43,4.0,4.0,4.0,5.0,2.5,0,0
3.8,8,43.0,88.37,4.0,4.0,4.5,4.0,4.9,0,0
4.7,9,35.0,134.29,3.0,4.0,4.0,5.0,4.0,0,0
3.5,9,40.0,87.5,3.0,3.0,3.5,4.0,4.9,0,0
3.2,16,35.0,91.43,3.0,3.0,3.6,4.0,2.0,0,0
3.1,15,33.0,93.94,2.0,2.0,3.0,3.0,4.0,0,0
4.19,17,35.0,119.71,3.411202778983934,3.616707616707617,5.0,4.0,4.9,0,0
2.25,9,35.0,64.29,4.0,4.0,3.9,4.0,4.0,0,0
25.5,3,70.0,364.29,4.0,3.0,5.3,7.0,6.0,0,0
4.8,5,40.0,120.0,3.0,6.0,4.636274509803922,5.0,4.9,0,0
5.18,16,41.8,123.92,3.0,3.0,4.636274509803922,4.0,4.9,0,0
5.75,16,44.0,130.68,3.0,3.0,7.5,4.0,4.0,0,0
7.2,10,45.0,160.0,3.0,3.0,4.0,4.0,3.0,0,0
4.8,10,38.0,126.32,3.0,3.0,4.5,6.0,2.0,0,0
7.6,3,45.0,168.89,3.0,4.0,5.0,3.0,4.9,0,0
3.5,10,36.0,97.22,3.0,3.616707616707617,3.6,4.0,4.9,0,0
3.75,9,35.0,107.14,4.0,4.0,3.4,5.0,2.0,0,0
